Date,Open,High,Low,Close,Adj Close,Volume
2019-04-18,1660.969971,1673.030029,1654.550049,1670.739990,1670.739990,0
2019-04-23,1670.500000,1673.800049,1661.390015,1672.180054,1672.180054,0
2019-04-24,1672.099976,1686.400024,1670.410034,1680.719971,1680.719971,0
2019-04-25,1678.969971,1700.349976,1668.430054,1689.420044,1689.420044,0
2019-04-26,1689.900024,1693.050049,1680.910034,1689.040039,1689.040039,0
2019-04-29,1689.760010,1694.189941,1684.319946,1693.310059,1693.310059,0
2019-04-30,1691.329956,1691.430054,1675.969971,1676.140015,1676.140015,0
2019-05-02,1675.760010,1675.760010,1662.280029,1665.449951,1665.449951,0
2019-05-03,1664.939941,1676.900024,1664.050049,1672.329956,1672.329956,0
2019-05-06,1665.890015,1665.890015,1627.199951,1649.219971,1649.219971,0
2019-05-07,1647.849976,1653.000000,1613.349976,1617.849976,1617.849976,0
2019-05-08,1617.250000,1624.770020,1611.500000,1623.369995,1623.369995,0
2019-05-09,1622.449951,1622.449951,1593.839966,1596.689941,1596.689941,0
2019-05-10,1597.130005,1615.609985,1593.469971,1603.369995,1603.369995,0
2019-05-13,1603.180054,1603.239990,1572.849976,1573.839966,1573.839966,0
2019-05-14,1574.400024,1591.119995,1574.400024,1590.819946,1590.819946,0
2019-05-15,1591.140015,1597.959961,1574.770020,1593.319946,1593.319946,0
2019-05-16,1593.280029,1615.380005,1586.250000,1615.380005,1615.380005,0
2019-05-17,1614.439941,1614.439941,1591.060059,1606.859985,1606.859985,0
2019-05-20,1606.910034,1607.130005,1582.579956,1588.900024,1588.900024,0
2019-05-21,1590.890015,1605.689941,1590.890015,1602.910034,1602.910034,0
2019-05-22,1603.150024,1605.750000,1587.780029,1595.640015,1595.640015,0
2019-05-23,1593.540039,1593.540039,1558.880005,1561.170044,1561.170044,0
2019-05-24,1563.180054,1579.119995,1563.180054,1571.520020,1571.520020,0
2019-05-27,1573.890015,1582.459961,1565.780029,1568.229980,1568.229980,34880300
2019-05-28,1569.250000,1572.630005,1555.229980,1565.119995,1565.119995,0
2019-05-29,1562.369995,1562.369995,1538.109985,1538.750000,1538.750000,0
2019-05-31,1536.630005,1536.630005,1505.130005,1510.459961,1510.459961,0
2019-06-03,1509.770020,1518.229980,1494.189941,1518.229980,1518.229980,0
2019-06-04,1518.229980,1537.310059,1506.390015,1537.310059,1537.310059,0
2019-06-05,1537.530029,1546.750000,1531.010010,1542.000000,1542.000000,0
2019-06-07,1543.369995,1570.780029,1543.369995,1566.140015,1566.140015,0
2019-06-11,1575.609985,1597.430054,1575.560059,1593.359985,1593.359985,0
2019-06-12,1593.359985,1596.319946,1580.449951,1593.599976,1593.599976,0
2019-06-13,1593.119995,1604.729980,1587.060059,1598.119995,1598.119995,0
2019-06-14,1597.380005,1597.380005,1579.390015,1589.599976,1589.599976,0
2019-06-18,1586.530029,1612.050049,1573.140015,1609.430054,1609.430054,0
2019-06-19,1609.719971,1615.810059,1607.109985,1612.400024,1612.400024,0
2019-06-20,1617.449951,1632.829956,1617.449951,1628.290039,1628.290039,0
2019-06-24,1627.479980,1635.589966,1609.319946,1610.939941,1610.939941,0
2019-06-25,1610.239990,1612.939941,1605.119995,1607.290039,1607.290039,0
2019-06-26,1605.939941,1611.189941,1596.010010,1604.229980,1604.229980,0
2019-06-27,1605.079956,1621.729980,1605.079956,1616.939941,1616.939941,0
2019-06-28,1616.880005,1627.020020,1615.319946,1622.430054,1622.430054,0
2019-07-01,1622.829956,1645.780029,1622.829956,1642.000000,1642.000000,0
2019-07-02,1641.750000,1648.260010,1637.979980,1647.020020,1647.020020,0
2019-07-03,1647.130005,1657.089966,1641.780029,1648.839966,1648.839966,63750600
2019-07-04,1648.829956,1654.900024,1648.250000,1652.250000,1652.250000,45599400
2019-07-05,1651.920044,1652.880005,1620.180054,1634.939941,1634.939941,0
2019-07-08,1634.709961,1646.380005,1629.959961,1642.069946,1642.069946,0
2019-07-09,1640.180054,1640.180054,1625.239990,1630.880005,1630.880005,0
2019-07-10,1630.400024,1636.650024,1621.550049,1622.449951,1622.449951,0
2019-07-11,1625.099976,1631.349976,1609.439941,1613.209961,1613.209961,0
2019-07-12,1613.310059,1629.199951,1613.310059,1625.619995,1625.619995,0
2019-07-15,1626.469971,1639.000000,1615.589966,1632.910034,1632.910034,0
2019-07-16,1629.420044,1633.719971,1620.439941,1630.569946,1630.569946,0
2019-07-17,1629.729980,1630.910034,1598.060059,1598.060059,1598.060059,0
2019-07-18,1600.219971,1600.219971,1573.550049,1577.410034,1577.410034,0
2019-07-19,1578.619995,1605.420044,1578.619995,1605.420044,1605.420044,0
2019-07-22,1605.250000,1607.449951,1598.109985,1600.880005,1600.880005,74655900
2019-07-23,1616.560059,1627.869995,1615.819946,1624.770020,1624.770020,0
2019-07-24,1625.310059,1625.540039,1608.290039,1613.060059,1613.060059,0
2019-07-25,1613.630005,1625.829956,1596.900024,1607.199951,1607.199951,0
2019-07-26,1606.880005,1614.729980,1605.900024,1610.640015,1610.640015,0
